against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,base_egg_steps,base_total,pokedex_number,name,classfication,capture_rate,height_m,hp,attack,defense,sp_attack,sp_defense,speed,type1,type2,weight_kg
1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,318,1,Bulbasaur,Seed Pokémon,45,0.7,45,49,49,65,65,45,grass,poison,6.9
1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,405,2,Ivysaur,Seed Pokémon,45,1.0,60,62,63,80,80,60,grass,poison,13.0
1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,625,3,Venusaur,Seed Pokémon,45,2.0,80,82,83,100,100,80,grass,poison,100.0
0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,309,4,Charmander,Lizard Pokémon,45,0.6,39,52,43,60,50,65,fire,,8.5
0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,405,5,Charmeleon,Flame Pokémon,45,1.1,58,64,58,80,65,80,fire,,19.0
0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,5120,634,6,Charizard,Flame Pokémon,45,1.7,78,84,78,109,85,100,fire,flying,90.5
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,314,7,Squirtle,Tiny Turtle Pokémon,45,0.5,44,48,65,50,64,43,water,,9.0
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,405,8,Wartortle,Turtle Pokémon,45,1.0,59,63,80,65,80,58,water,,22.5
1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,630,9,Blastoise,Shellfish Pokémon,45,1.6,79,83,100,85,105,78,water,,85.5
1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,3840,195,10,Caterpie,Worm Pokémon,255,0.3,45,30,35,20,20,45,bug,,2.9
1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,3840,205,11,Metapod,Cocoon Pokémon,120,0.7,50,20,55,25,25,30,bug,,9.9
0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,3840,395,12,Butterfree,Butterfly Pokémon,45,1.1,60,45,50,90,80,70,bug,flying,32.0
0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,3840,195,13,Weedle,Hairy Pokémon,255,0.3,40,35,30,20,20,50,bug,poison,3.2
0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,3840,205,14,Kakuna,Cocoon Pokémon,120,0.6,45,25,50,25,25,35,bug,poison,10.0
0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,3840,495,15,Beedrill,Poison Bee Pokémon,45,1.0,65,90,40,45,80,75,bug,poison,29.5
0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,251,16,Pidgey,Tiny Bird Pokémon,255,0.3,40,45,40,35,35,56,normal,flying,1.8
0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,349,17,Pidgeotto,Bird Pokémon,120,1.1,63,60,55,50,50,71,normal,flying,30.0
0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,579,18,Pidgeot,Bird Pokémon,45,1.5,83,80,75,70,70,101,normal,flying,39.5
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,253,19,Rattata,Mouse Pokémon,255,,30,56,35,25,35,72,normal,dark,
1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,413,20,Raticate,Mouse Pokémon,127,,75,71,70,40,80,77,normal,dark,
0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,262,21,Spearow,Tiny Bird Pokémon,255,0.3,40,60,30,31,31,70,normal,flying,2.0
0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,442,22,Fearow,Beak Pokémon,90,1.2,65,90,65,61,61,100,normal,flying,38.0
0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,288,23,Ekans,Snake Pokémon,255,2.0,35,60,44,40,54,55,poison,,6.9
0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,448,24,Arbok,Cobra Pokémon,90,3.5,60,95,69,65,79,80,poison,,65.0
1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,2560,320,25,Pikachu,Mouse Pokémon,190,0.4,35,55,40,50,50,90,electric,,6.0
1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,2560,485,26,Raichu,Mouse Pokémon,75,,60,85,50,95,85,110,electric,electric,
